current_score,wickets_lost,overs_played,total_overs,innings,run_rate,target,runs_needed,wickets_remaining,required_run_rate,team_won,final_score
61,1,6.0,20,1,10.17,0,0,9,0.0,1,189.0
87,1,10.0,20,1,8.7,0,0,9,0.0,1,173.0
154,2,15.0,20,1,10.27,0,0,8,0.0,1,203.0
222,3,20.0,20,1,11.1,0,0,7,0.0,1,222.0
26,4,6.0,20,2,4.33,223,197,6,14.07,0,223.0
51,7,10.0,20,2,5.1,223,172,3,17.2,0,223.0
81,9,15.0,20,2,5.4,223,142,1,28.4,0,223.0
82,10,20.0,20,2,4.1,223,141,0,0.0,0,223.0
53,1,6.0,20,1,8.83,0,0,9,0.0,1,164.0
88,3,10.0,20,1,8.8,0,0,7,0.0,1,155.0
161,4,15.0,20,1,10.73,0,0,6,0.0,1,199.0
240,5,20.0,20,1,12.0,0,0,5,0.0,1,240.0
63,1,6.0,20,2,10.5,241,178,9,12.71,0,241.0
110,1,10.0,20,2,11.0,241,131,9,13.1,0,241.0
165,3,15.0,20,2,11.0,241,76,7,15.2,0,241.0
207,4,20.0,20,2,10.35,241,34,6,0.0,0,241.0
40,2,6.0,20,1,6.67,0,0,8,0.0,0,114.0
57,4,10.0,20,1,5.7,0,0,6,0.0,0,100.0
96,7,15.0,20,1,6.4,0,0,3,0.0,0,115.0
129,8,20.0,20,1,6.45,0,0,2,0.0,0,129.0
55,1,6.0,20,2,9.17,130,75,9,5.36,1,130.0
86,1,10.0,20,2,8.6,130,44,9,4.4,1,130.0
128,1,15.0,20,2,8.53,130,2,9,0.4,1,130.0
132,1,20.0,20,2,6.6,130,0,9,0.0,1,130.0
47,3,6.0,20,1,7.83,0,0,7,0.0,0,123.0
74,3,10.0,20,1,7.4,0,0,7,0.0,0,130.0
105,4,15.0,20,1,7.0,0,0,6,0.0,0,130.0
165,7,20.0,20,1,8.25,0,0,3,0.0,0,165.0
40,1,6.0,20,2,6.67,166,126,9,9.0,1,166.0
76,3,10.0,20,2,7.6,166,90,7,9.0,1,166.0
118,4,15.0,20,2,7.87,166,48,6,9.6,1,166.0
166,5,20.0,20,2,8.3,166,0,5,0.0,1,166.0
39,2,6.0,20,1,6.5,0,0,8,0.0,0,111.0
52,4,10.0,20,1,5.2,0,0,6,0.0,0,100.0
77,6,15.0,20,1,5.13,0,0,4,0.0,0,100.0
110,10,20.0,20,1,5.5,0,0,0,0.0,0,110.0
26,3,6.0,20,2,4.33,111,85,7,6.07,1,111.0
38,3,10.0,20,2,3.8,111,73,7,7.3,1,111.0
81,4,15.0,20,2,5.4,111,30,6,6.0,1,111.0
112,5,20.0,20,2,5.6,111,0,5,0.0,1,111.0
54,1,6.0,20,1,9.0,0,0,9,0.0,0,167.0
82,4,10.0,20,1,8.2,0,0,6,0.0,0,136.0
115,4,15.0,20,1,7.67,0,0,6,0.0,0,142.0
166,8,20.0,20,1,8.3,0,0,2,0.0,0,166.0
53,3,6.0,20,2,8.83,167,114,7,8.14,1,167.0
87,3,10.0,20,2,8.7,167,80,7,8.0,1,167.0
142,4,15.0,20,2,9.47,167,25,6,5.0,1,167.0
168,4,20.0,20,2,8.4,167,0,6,0.0,1,167.0
25,2,6.0,20,1,4.17,0,0,8,0.0,0,100.0
45,4,10.0,20,1,4.5,0,0,6,0.0,0,100.0
73,5,15.0,20,1,4.87,0,0,5,0.0,0,100.0
142,8,20.0,20,1,7.1,0,0,2,0.0,0,142.0
48,1,6.0,20,2,8.0,143,95,9,6.79,1,143.0
95,1,10.0,20,2,9.5,143,48,9,4.8,1,143.0
143,1,15.0,20,2,9.53,143,0,9,0.0,1,143.0
143,1,20.0,20,2,7.15,143,0,9,0.0,1,143.0
53,2,6.0,20,1,8.83,0,0,8,0.0,1,151.0
82,2,10.0,20,1,8.2,0,0,8,0.0,1,154.0
143,3,15.0,20,1,9.53,0,0,7,0.0,1,183.0
208,5,20.0,20,1,10.4,0,0,5,0.0,1,208.0
52,2,6.0,20,2,8.67,209,157,8,11.21,0,209.0
83,3,10.0,20,2,8.3,209,126,7,12.6,0,209.0
134,5,15.0,20,2,8.93,209,75,5,15.0,0,209.0
202,7,20.0,20,2,10.1,209,7,3,0.0,0,209.0
58,2,6.0,20,1,9.67,0,0,8,0.0,0,166.0
85,3,10.0,20,1,8.5,0,0,7,0.0,0,150.0
148,3,15.0,20,1,9.87,0,0,7,0.0,0,189.0
214,5,20.0,20,1,10.7,0,0,5,0.0,0,214.0
73,1,6.0,20,2,12.17,215,142,9,10.14,1,215.0
114,2,10.0,20,2,11.4,215,101,8,10.1,1,215.0
159,3,15.0,20,2,10.6,215,56,7,11.2,1,215.0
217,7,20.0,20,2,10.85,215,0,3,0.0,1,215.0
60,1,6.0,20,1,10.0,0,0,9,0.0,1,186.0
94,2,10.0,20,1,9.4,0,0,8,0.0,1,176.0
138,4,15.0,20,1,9.2,0,0,6,0.0,1,171.0
182,10,20.0,20,1,9.1,0,0,0,0.0,1,182.0
39,2,6.0,20,2,6.5,183,144,8,10.29,0,183.0
67,4,10.0,20,2,6.7,183,116,6,11.6,0,183.0
101,7,15.0,20,2,6.73,183,82,3,16.4,0,183.0
116,9,20.0,20,2,5.8,183,67,1,0.0,0,183.0
57,2,6.0,20,1,9.5,0,0,8,0.0,0,163.0
77,5,10.0,20,1,7.7,0,0,5,0.0,0,119.0
95,7,15.0,20,1,6.33,0,0,3,0.0,0,113.0
135,8,20.0,20,1,6.75,0,0,2,0.0,0,135.0
45,2,6.0,20,2,7.5,136,91,8,6.5,1,136.0
73,2,10.0,20,2,7.3,136,63,8,6.3,1,136.0
121,2,15.0,20,2,8.07,136,15,8,3.0,1,136.0
138,3,20.0,20,2,6.9,136,0,7,0.0,1,136.0
61,3,6.0,20,1,10.17,0,0,7,0.0,0,160.0
72,5,10.0,20,1,7.2,0,0,5,0.0,0,111.0
104,6,15.0,20,1,6.93,0,0,4,0.0,0,124.0
147,9,20.0,20,1,7.35,0,0,1,0.0,0,147.0
45,0,6.0,20,2,7.5,148,103,10,7.36,1,148.0
77,1,10.0,20,2,7.7,148,71,9,7.1,1,148.0
121,1,15.0,20,2,8.07,148,27,9,5.4,1,148.0
152,1,20.0,20,2,7.6,148,0,9,0.0,1,148.0
27,3,6.0,20,1,4.5,0,0,7,0.0,0,100.0
54,3,10.0,20,1,5.4,0,0,7,0.0,0,100.0
99,5,15.0,20,1,6.6,0,0,5,0.0,0,118.0
154,7,20.0,20,1,7.7,0,0,3,0.0,0,154.0
60,0,6.0,20,2,10.0,155,95,10,6.79,1,155.0
130,0,10.0,20,2,13.0,155,25,10,2.5,1,155.0
155,0,15.0,20,2,10.33,155,0,10,0.0,1,155.0
155,0,20.0,20,2,7.75,155,0,10,0.0,1,155.0
45,3,6.0,20,1,7.5,0,0,7,0.0,0,118.0
69,4,10.0,20,1,6.9,0,0,6,0.0,0,114.0
107,5,15.0,20,1,7.13,0,0,5,0.0,0,128.0
158,8,20.0,20,1,7.9,0,0,2,0.0,0,158.0
55,2,6.0,20,2,9.17,159,104,8,7.43,1,159.0
81,3,10.0,20,2,8.1,159,78,7,7.8,1,159.0
123,4,15.0,20,2,8.2,159,36,6,7.2,1,159.0
162,6,20.0,20,2,8.1,159,0,4,0.0,1,159.0
36,1,6.0,20,1,6.0,0,0,9,0.0,1,111.0
65,2,10.0,20,1,6.5,0,0,8,0.0,1,122.0
102,3,15.0,20,1,6.8,0,0,7,0.0,1,130.0
178,5,20.0,20,1,8.9,0,0,5,0.0,1,178.0
45,1,6.0,20,2,7.5,179,134,9,9.57,0,179.0
93,1,10.0,20,2,9.3,179,86,9,8.6,0,179.0
132,3,15.0,20,2,8.8,179,47,7,9.4,0,179.0
165,10,20.0,20,2,8.25,179,14,0,0.0,0,179.0
40,3,6.0,20,1,6.67,0,0,7,0.0,0,105.0
60,3,10.0,20,1,6.0,0,0,7,0.0,0,106.0
87,6,15.0,20,1,5.8,0,0,4,0.0,0,104.0
137,8,20.0,20,1,6.85,0,0,2,0.0,0,137.0
38,3,6.0,20,2,6.33,138,100,7,7.14,1,138.0
69,3,10.0,20,2,6.9,138,69,7,6.9,1,138.0
110,3,15.0,20,2,7.33,138,28,7,5.6,1,138.0
138,3,20.0,20,2,6.9,138,0,7,0.0,1,138.0
58,1,6.0,20,1,9.67,0,0,9,0.0,1,179.0
91,1,10.0,20,1,9.1,0,0,9,0.0,1,181.0
151,2,15.0,20,1,10.07,0,0,8,0.0,1,199.0
191,5,20.0,20,1,9.55,0,0,5,0.0,1,191.0
55,3,6.0,20,2,9.17,192,137,7,9.79,0,192.0
83,3,10.0,20,2,8.3,192,109,7,10.9,0,192.0
134,3,15.0,20,2,8.93,192,58,7,11.6,0,192.0
181,5,20.0,20,2,9.05,192,11,5,0.0,0,192.0
50,1,6.0,20,1,8.33,0,0,9,0.0,0,154.0
76,3,10.0,20,1,7.6,0,0,7,0.0,0,134.0
111,6,15.0,20,1,7.4,0,0,4,0.0,0,133.0
164,8,20.0,20,1,8.2,0,0,2,0.0,0,164.0
41,1,6.0,20,2,6.83,165,124,9,8.86,1,165.0
77,2,10.0,20,2,7.7,165,88,8,8.8,1,165.0
129,3,15.0,20,2,8.6,165,36,7,7.2,1,165.0
167,3,20.0,20,2,8.35,165,0,7,0.0,1,165.0
45,1,6.0,20,1,7.5,0,0,9,0.0,1,139.0
89,2,10.0,20,1,8.9,0,0,8,0.0,1,167.0
142,4,15.0,20,1,9.47,0,0,6,0.0,1,176.0
196,7,20.0,20,1,9.8,0,0,3,0.0,1,196.0
51,3,6.0,20,2,8.5,197,146,7,10.43,0,197.0
78,3,10.0,20,2,7.8,197,119,7,11.9,0,197.0
128,5,15.0,20,2,8.53,197,69,5,13.8,0,197.0
151,10,20.0,20,2,7.55,197,46,0,0.0,0,197.0
47,1,6.0,20,1,7.83,0,0,9,0.0,0,145.0
82,2,10.0,20,1,8.2,0,0,8,0.0,0,154.0
